path,deployment,datetime,media_type
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_1241.jpg.xmp,6009_gps1_diq202504-202509,2025-03-20 16:29:27,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_1243.mp4.xmp,6009_gps1_diq202504-202509,2025-03-20 16:30:01,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_1244.jpg.xmp,6009_gps1_diq202504-202509,2025-03-20 16:30:01,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps1_diq202504-202509/animal/6009_gps1_diq202504-202509-DCIM-100_6009-IMG_1245.jpg.xmp,6009_gps1_diq202504-202509,2025-03-20 16:30:02,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps2_diq202504-202509/animal/6009_gps2_diq202504-202509-DCIM-100_6009-IMG_0052.mp4.xmp,6009_gps2_diq202504-202509,2025-07-16 00:43:19,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps2_diq202504-202509/animal/6009_gps2_diq202504-202509-DCIM-100_6009-IMG_0053.jpg.xmp,6009_gps2_diq202504-202509,2025-07-16 00:43:19,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps2_diq202504-202509/animal/6009_gps2_diq202504-202509-DCIM-100_6009-IMG_0054.jpg.xmp,6009_gps2_diq202504-202509,2025-07-16 00:43:20,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps2_diq202504-202509/animal/6009_gps2_diq202504-202509-DCIM-100_6009-IMG_0059.jpg.xmp,6009_gps2_diq202504-202509,2025-07-16 01:18:53,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps2_diq202504-202509/animal/6009_gps2_diq202504-202509-DCIM-100_6009-IMG_0060.jpg.xmp,6009_gps2_diq202504-202509,2025-07-16 01:18:54,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps2_diq202504-202509/animal/6009_gps2_diq202504-202509-DCIM-100_6009-IMG_0067.mp4.xmp,6009_gps2_diq202504-202509,2025-07-16 01:21:25,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps2_diq202504-202509/animal/6009_gps2_diq202504-202509-DCIM-100_6009-IMG_0069.jpg.xmp,6009_gps2_diq202504-202509,2025-07-16 01:21:26,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps2_diq202504-202509/animal/6009_gps2_diq202504-202509-DCIM-100_6009-IMG_0071.jpg.xmp,6009_gps2_diq202504-202509,2025-07-16 03:43:53,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps2_diq202504-202509/animal/6009_gps2_diq202504-202509-DCIM-100_6009-IMG_0148.mp4.xmp,6009_gps2_diq202504-202509,2025-07-16 17:57:49,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps2_diq202504-202509/animal/6009_gps2_diq202504-202509-DCIM-100_6009-IMG_0149.jpg.xmp,6009_gps2_diq202504-202509,2025-07-16 17:57:49,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps2_diq202504-202509/animal/6009_gps2_diq202504-202509-DCIM-100_6009-IMG_0150.jpg.xmp,6009_gps2_diq202504-202509,2025-07-16 17:57:50,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps2_diq202504-202509/animal/6009_gps2_diq202504-202509-DCIM-100_6009-IMG_0158.jpg.xmp,6009_gps2_diq202504-202509,2025-07-17 08:18:54,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps2_diq202504-202509/animal/6009_gps2_diq202504-202509-DCIM-100_6009-IMG_0159.jpg.xmp,6009_gps2_diq202504-202509,2025-07-17 08:18:55,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps2_diq202504-202509/animal/6009_gps2_diq202504-202509-DCIM-100_6009-IMG_0211.mp4.xmp,6009_gps2_diq202504-202509,2025-07-17 20:01:37,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps2_diq202504-202509/animal/6009_gps2_diq202504-202509-DCIM-100_6009-IMG_0213.jpg.xmp,6009_gps2_diq202504-202509,2025-07-17 20:01:38,image/jpeg
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps2_diq202504-202509/animal/6009_gps2_diq202504-202509-DCIM-100_6009-IMG_0214.mp4.xmp,6009_gps2_diq202504-202509,2025-07-17 20:18:20,video/mp4
/run/media/wsyxbcl/97290686-f4c4-499c-bb42-4dfe42b96533/volunteer202601_datacheck/mazev11/6009_gps2_diq202504-202509/animal/6009_gps2_diq202504-202509-DCIM-100_6009-IMG_0215.jpg.xmp,6009_gps2_diq202504-202509,2025-07-17 20:18:20,image/jpeg
